image_id,width,height,numerosity,TSA,FA,CH,cumArea,role,pair_num,target_low,target_high,pair_ratio,image_file,position,greater_role,greater_side,pair_order
11702,100,100,14,3815.7568359375,10583.0048828125,10327,3542,partner,274,0.5,0.6,0.5714285714285714,paired_images/img_11702.png,right,partner,right,46
7998,100,100,11,2844.169677734375,13266.4990234375,9587,2783,anchor,93,0.8,0.9,0.8181818181818182,paired_images/img_07998.png,left,anchor,left,47
4340,100,100,9,2291.968994140625,10690.7841796875,8597,2277,partner,93,0.8,0.9,0.8181818181818182,paired_images/img_04340.png,right,anchor,left,47
13706,100,100,18,2291.968994140625,16018.078125,12738,2034,anchor,103,0.8,0.9,0.8181818181818182,paired_images/img_13706.png,left,partner,right,48
18300,100,100,22,4261.439453125,22311.50390625,19280,4334,partner,103,0.8,0.9,0.8181818181818182,paired_images/img_18300.png,right,partner,right,48
17480,100,100,22,3013.29296875,17708.65234375,16031,3278,anchor,252,0.6,0.7,0.6363636363636364,paired_images/img_17480.png,left,anchor,left,49
10341,100,100,14,2021.3267822265625,15856.591796875,12779,2086,partner,252,0.6,0.7,0.6363636363636364,paired_images/img_10341.png,right,anchor,left,49
12665,100,100,16,2884.44091796875,15101.9892578125,12347,3152,anchor,295,0.5,0.6,0.5625,paired_images/img_12665.png,left,anchor,left,50
3705,100,100,9,1717.0367431640625,12000,7982,1773,partner,295,0.5,0.6,0.5625,paired_images/img_03705.png,right,anchor,left,50
14582,100,100,18,3434.073486328125,13469.544921875,13741,3546,anchor,284,0.5,0.6,0.5,paired_images/img_14582.png,left,anchor,left,51
4011,100,100,9,1927.30859375,16018.078125,9483,1773,partner,284,0.5,0.6,0.5,paired_images/img_04011.png,right,anchor,left,51
5179,100,100,10,1612.4515380859375,15936.880859375,10315,1490,anchor,255,0.6,0.7,0.625,paired_images/img_05179.png,left,partner,right,52
12831,100,100,16,3055.958740234375,19027.314453125,16079,3152,partner,255,0.6,0.7,0.625,paired_images/img_12831.png,right,partner,right,52
8373,100,100,11,3382.306884765625,12521.908203125,9806,3487,anchor,82,0.8,0.9,0.8181818181818182,paired_images/img_08373.png,left,anchor,left,53
4547,100,100,9,2428.256591796875,16970.5625,12583,2277,partner,82,0.8,0.9,0.8181818181818182,paired_images/img_04547.png,right,anchor,left,53
16892,100,100,20,4560.70166015625,25298.220703125,22271,5060,anchor,192,0.7,0.8,0.7142857142857143,paired_images/img_16892.png,left,partner,right,54
20640,100,100,28,3028.568115234375,25170.76953125,22533,3164,partner,192,0.7,0.8,0.7142857142857143,paired_images/img_20640.png,right,partner,right,54
9572,100,100,12,2803.9091796875,15553.2900390625,13550,3036,anchor,23,0.8,0.9,0.8571428571428571,paired_images/img_09572.png,left,partner,right,55
11496,100,100,14,3399.452880859375,14126.6171875,11805,3542,partner,23,0.8,0.9,0.8571428571428571,paired_images/img_11496.png,right,partner,right,55
17161,100,100,22,2684.538818359375,13266.4990234375,11737,2486,anchor,211,0.6,0.7,0.6363636363636364,paired_images/img_17161.png,left,anchor,left,56
10334,100,100,14,2021.3267822265625,14966.6298828125,13304,2086,partner,211,0.6,0.7,0.6363636363636364,paired_images/img_10334.png,right,anchor,left,56
8043,100,100,11,2844.169677734375,17708.65234375,14982,2783,anchor,153,0.7,0.8,0.7272727272727273,paired_images/img_08043.png,left,anchor,left,57
2472,100,100,8,2039.6077880859375,8000,5538,2024,partner,153,0.7,0.8,0.7272727272727273,paired_images/img_02472.png,right,anchor,left,57
443,100,100,7,1604.328125,9989.0263671875,6135,1771,anchor,186,0.7,0.8,0.7,paired_images/img_00443.png,left,partner,right,58
5964,100,100,10,2280.350830078125,16884.537109375,12468,2530,partner,186,0.7,0.8,0.7,paired_images/img_05964.png,right,partner,right,58
19697,100,100,25,4047.094482421875,20000,20306,3725,anchor,173,0.7,0.8,0.72,paired_images/img_19697.png,left,anchor,left,59
14415,100,100,18,3059.41162109375,22652.984375,17626,2682,partner,173,0.7,0.8,0.72,paired_images/img_14415.png,right,anchor,left,59
15452,100,100,20,2415.947509765625,23878.341796875,18595,2260,anchor,115,0.8,0.9,0.8,paired_images/img_15452.png,left,partner,right,60
20048,100,100,25,4812.83349609375,15874.0107421875,16137,4925,partner,115,0.8,0.9,0.8,paired_images/img_20048.png,right,partner,right,60
1554,100,100,7,2546.712158203125,14966.6298828125,9103,2639,anchor,190,0.7,0.8,0.7777777777777778,paired_images/img_01554.png,left,partner,right,61
5051,100,100,9,3059.41162109375,16018.078125,12111,2853,partner,190,0.7,0.8,0.7777777777777778,paired_images/img_05051.png,right,partner,right,61
12015,100,100,16,2160.88916015625,15101.9892578125,11953,2384,anchor,47,0.8,0.9,0.8,paired_images/img_12015.png,left,partner,right,62
15604,100,100,20,2711.8095703125,12649.1103515625,11313,2980,partner,47,0.8,0.9,0.8,paired_images/img_15604.png,right,partner,right,62
